AnVilen,RT @Dbnmjr: #Украина #война #Ukraine http://t.co/T7aTGNjLfr
keeroti,"RT @Conflict_Report: #News
Russian forces attacked Regiment #Azov positions in #Shyrokyne 4 times between 10 am and 6 pm, using 120 mm mort…"
ATO_PRO,"WORLD WAKE UP! 
STOP TERROR-RUSSIA!
#Ukraine #Україна #PutinKiller #АТО
#StopRussianAggression #BanRussiaFromSwift http://t.co/hLtEclxK8C"
novosti_net,CLICK : http://t.co/A3UYgTDmku #Путин #Putin #Moscow #Ukraine #War UN #NATO #DNR LNR #MH17 #BUK 1428521048 Russia http://t.co/4QNrougXbW
oikono1885,RT @EuromaidanPress: #Greece &amp; #Hungary endorsed plans to build new #Russia gas pipeline in latest blow to EU unity over #Ukraine crisis. h…
BuyleLegalEner,NatGasEurope: #Ukraine's government continues its crack down on #oligarchs and owners of companies in its power se… http://t.co/1kTUseU9TT
BusN,RT @AFPphoto: Fragile ceasefire a dark joke to many in east #Ukraine |  http://t.co/dY64YnFw5a Photos @dilkoff #AFP http://t.co/8NrKmW8AJQ
eyes21st1,RT @Liveuamap: Convoy of military vehicles in Rostov Region  http://t.co/YUXCpnHYEj #Ukraine http://t.co/g0nb1yYz4F via @BuTaJIu4eK
ATO_PRO,"WORLD WAKE UP! 
STOP TERROR-RUSSIA!
#Ukraine #Україна #PutinKiller #АТО
#StopRussianAggression #BanRussiaFromSwift http://t.co/RyS0PDVAkP"
lamiabron,"RT @Conflict_Report: #News
Russian forces attacked Regiment #Azov positions in #Shyrokyne 4 times between 10 am and 6 pm, using 120 mm mort…"
vlvtcccc,"RT @Conflict_Report: DON'T MISS MY LATEST ARTICLE ON #UKRAINE:

""The battle of Shyrokyne – escalation is looming.""

http://t.co/TNChfirMrZ …"
Conflict_Report,"#News
Russian forces attacked Regiment #Azov positions in #Shyrokyne 4 times between 10 am and 6 pm, using 120 mm mortars once.
#Ukraine"
Mindaugas_P,This is about how #ProRussian #media is full #bullshity #lies. #Ukraine #Donetsk #Propaganda https://t.co/vGyWXXHwbt
Kurbozavr,RT @Dbnmjr: #Украина #война #россия #рф #Ukraine http://t.co/HfMyNh8j1J
jimpoco,RT @DevinAckles: On the life and death of former Yanukovych associated figures in #Ukraine. An absolute must read by @MaxRTucker http://t.c…
PimandRRRos,"RT @BuTaJIu4eK: #Каменск-Шахтинский
Колонна техники(САУ) сил вторжения #ВС #РФ
Фото сегодняшнее - 08.04.2015
#russia #war #Ukraine http://t…"
BylByleva_,"RT @BuTaJIu4eK: #Каменск-Шахтинский
Колонна техники(САУ) сил вторжения #ВС #РФ
Фото сегодняшнее - 08.04.2015
#russia #war #Ukraine http://t…"
ne_katalava,"RT @BuTaJIu4eK: #Каменск-Шахтинский
Колонна техники(САУ) сил вторжения #ВС #РФ
Фото сегодняшнее - 08.04.2015
#russia #war #Ukraine http://t…"
asekritov,"#Ukraine Видео пьяного дебоша батальона ""Айдар"" попало в YouTube http://t.co/t0cuO3SKWr"
jacquelinehadel,"QUEL KGSB. Odessa, Ukraine. 5apr15. #graffiti #tags #travel #streetphotography #odessa #ukraine https://t.co/wvdUgMuwni"
parleluidemoi,"Ça va... ""@afpfr: #Ukraine Un obus non explosé près du village de Dmitrivka, dans l'Est.  Photo par @dilkoff #AFP http://t.co/0UdGQpvlWt"""
validol_pu,"RT @BuTaJIu4eK: #Каменск-Шахтинский
Колонна техники(САУ) сил вторжения #ВС #РФ
Фото сегодняшнее - 08.04.2015
#russia #war #Ukraine http://t…"
AgusNSulaiman,#Путин запускает личный сайт! http://t.co/eTafLw5RdN http://t.co/mNQkVXoY7F #Putin #ДНР #Ukraine
Lastcombo,RT @SpecGhost: #Ukraine #Makiyivka.Positions &amp; places of #Russia|n hybrid-#army.http://t.co/vGWfBlclEp #EU #Ukraina via @BuTaJIu4eK http://…
yanka_spadar,#Ukraine Для придушення повстань серед бойовиків ватажки ДНР створюють бойовий підрозділ: Для придушення повстань серед бойовиків ват...
AgentGB1,"RT @antelava: ""dead"" girl that never was and brave Russian journalist who told us the truth http://t.co/faEqawsEhJ #Ukraine"
Universpatriot,"RT @BuTaJIu4eK: #Каменск-Шахтинский
Колонна техники(САУ) сил вторжения #ВС #РФ
Фото сегодняшнее - 08.04.2015
#russia #war #Ukraine http://t…"
belizina,08.04.15 #Сводка #ДНР #USA - #EU - #Ukraine - #Fascism Сводка от ополчения ...
Lastcombo,"RT @SpecGhost: Pres.of #Poland,Head of @BBN_PL Gen.@SKoziej &amp; Pres.of #Ukraine are holding negotiations in expanded format.#Ukraina http://…"
MedpatriotuaMed,"RT @BuTaJIu4eK: #Каменск-Шахтинский
Колонна техники(САУ) сил вторжения #ВС #РФ
Фото сегодняшнее - 08.04.2015
#russia #war #Ukraine http://t…"
weather_kiev1,#Kiev Apr 08 22:00 Temperature 7C no or few clouds Wind NW 22 km/h  Humidity 55% #Ukraine .. http://t.co/FTZsqO8kb7
AmbasciataUSA,"RT @stengel: ""They may wear camouflage, but the Russians' presence in eastern #Ukraine is hardly invisible."" http://t.co/Vs9pFjVHi5 via @AP"
Lancier1812,"RT @actionScript3: #TSO @TorontoSymphony revives #McCarthyism #Blacklists ?
Sacks @ValLisitsa 
#News #Ukraine #letValentinaPlay
http://t.co…"
Irina16135931,"RT @BuTaJIu4eK: #Каменск-Шахтинский
Колонна техники(САУ) сил вторжения #ВС #РФ
Фото сегодняшнее - 08.04.2015
#russia #war #Ukraine http://t…"
svetik_raduga,http://t.co/sukUzKKD24 ЧИТАЙ ОБРАЩЕНИЕ ЗДЕСЬ! ПРОЧИТАЛ - ПЕРЕДАЙ ДРУГОМУ! #Львов #Kyiv #Kiev #Киев #Крым #Kharkiv #Ukraine #Одесса
SotMaleficentUA,"RT @BuTaJIu4eK: #Каменск-Шахтинский
Колонна техники(САУ) сил вторжения #ВС #РФ
Фото сегодняшнее - 08.04.2015
#russia #war #Ukraine http://t…"
UANationalists,"#Ukrainian ""reds"" are fight against their own nation: Communist party of #Ukraine can be linked with terrorist acts in #Odessa."
ellynews,"US military tactics falling behind those of adversaries, Pentagon official warns #russia #usnews #worldnews #ukraine"
tweetziek,RT @NatGasEurope: #Ukraine's government continues its crack down on #oligarchs and owners of companies in its power sector http://t.co/Sq5x…
TSaarenoja,RT @NataliaSolyeva: #OSCE PA President convinced of the need of int. peacekeeping mission to eastern #Ukraine http://t.co/8ePqXdzOup http:/…
UKreality,RT @Liveuamap: Convoy of military vehicles in Rostov Region  http://t.co/YUXCpnHYEj #Ukraine http://t.co/g0nb1yYz4F via @BuTaJIu4eK
yea_AERIAL,RT @DroidExaminer: Сейчас #Киев #Крещатик. Выложена надпись свечами - Слава Украине. Героям Слава. #Kyiv #Ukraine http://t.co/XSNh6q1CTD
Ashtray_Cowboy,RT @SimonOstrovsky: Fake news creating hatred and fueling war. @antelava investigates the dead 10-year-old that never existed http://t.co/3…
de_sputnik,#Warschau: #Ukraine soll Beitritt zu beliebigen Strukturen des Westens anstreben dürfen http://t.co/MGoCI1KryF http://t.co/n4N1fWz8ve
novosti_net,CLICK : http://t.co/A3UYgTDmku #Путин #Putin #Moscow #Ukraine #War UN #NATO #DNR LNR #MH17 #BUK 1428520808 Russia http://t.co/GVKOKleTGS
whileinCrimea,Guest Post: Russia's Central Bank Governor Is Way Smarter Than Ours #ukraine http://t.co/UY7z9jQBii http://t.co/WjbyaJO7fz
russiavsworld,Ukraine-NATO Cooperation Deal: Ukraine parliament renounced country’s... http://t.co/xda00VvE8q #Russia #Ukraine http://t.co/Kh4ptFdglM
leonido1982,"RT @ukrpatriotclub: Армія України: Смерь ворогам / Army of #Ukraine: Dath to the enemies
#Украина #Россия  #Путин #FollowBack 
https://t.co…"
Inga_Sharo4ek,#Великдень наближається  #Україна #Українапонадусе #славаУкраїні #разомсила #всебудедобре #Ukraine http://t.co/9aWM2vGjKl
AndriiOlefirov,RT @NataliaSolyeva: #OSCE PA President convinced of the need of int. peacekeeping mission to eastern #Ukraine http://t.co/8ePqXdzOup http:/…
NatGasEurope,#Ukraine's government continues its crack down on #oligarchs and owners of companies in its power sector http://t.co/Sq5xT6uoCF
shakeeb_a_khan,"RT @unicefusa: In #Ukraine, UNICEF &amp; partners skirt landmines to deliver for children in need: http://t.co/v3vQ2Bty5K http://t.co/EyeWReelth"
marjahuttunen,RT @PaulaChertok: Wtf is wrong w/ ppl who need to destroy a memorial to a dead man?! http://t.co/ERO9WbMPrF http://t.co/XAOzKhJu0X #Nemtsov…
UKRinJOR,RT @NataliaSolyeva: #OSCE PA President convinced of the need of int. peacekeeping mission to eastern #Ukraine http://t.co/8ePqXdzOup http:/…
LUMKatrusya,RT @Liveuamap: Convoy of military vehicles in Rostov Region  http://t.co/YUXCpnHYEj #Ukraine http://t.co/g0nb1yYz4F via @BuTaJIu4eK
Asian_Nightmare,We must boycott insane Koreans! http://t.co/6IczFkL8gD → http://t.co/8bklteYycI #Ukraine #Belarus #Czech #Slovakia #Romania #Finland
ARachmaninoff,RT @SBGmainlineMMA: Птыцка #Ukraine  https://t.co/a3Xb9ODUwU
Lastcombo,"RT @RT_com: US, NATO to send 300 instructors to train #Ukraine national guard http://t.co/bt6RsmxK4b http://t.co/1XJVRvi8ZM"
AuliCarl,RT @RussiaInsider: Land Grab in #Ukraine Is #Monsanto's Backdoor to the #EU http://t.co/FT8wCBRD8i http://t.co/Cxzst6r0c6
maria09121953,"RT @BuTaJIu4eK: #Каменск-Шахтинский
Колонна техники(САУ) сил вторжения #ВС #РФ
Фото сегодняшнее - 08.04.2015
#russia #war #Ukraine http://t…"
BalazsJarabik,Hmm: all information about the mysterious deaths in #Ukraine is a state secret http://t.co/hzIFbOHM4O via @MaxRTucker
MatBabiak,"Probably my favorite of @ValLisitsa's tweets, the very definition of fear mongering | #ukraine #rightsector http://t.co/i7VtvvpNKg"
BCamici,"RT @AnimalAbusers: DNR Fighters Kill And Eat German Shepard Dog
http://t.co/CGqegL3ikG
 #ukraine #russia http://t.co/hUDsk9zFMY"
MY3AKA,"RT @eot_dnr: Доброволец из #США в рядах отряда ""Суть Времени"" на позициях в поселке Спартак.
#ДНР #Донбасс #Ukraine 
https://t.co/tAfNFs9fdP"
dopyhippo,RT @RussiaInsider: #Ukraine Noncanonical Patriarch Explains Killing 'Separatists' Is Not a Sin http://t.co/EpAFirpBSL http://t.co/eXBVw9j2IR
UKreality,RT @PaulaChertok: Wtf is wrong w/ ppl who need to destroy a memorial to a dead man?! http://t.co/ERO9WbMPrF http://t.co/XAOzKhJu0X #Nemtsov…
ATO_PRO,"WORLD WAKE UP! 
STOP TERROR-RUSSIA!
#Ukraine #Україна #PutinKiller #АТО
#StopRussianAggression #BanRussiaFromSwift http://t.co/C1JdvFPg0h"
ATO_PRO,"WORLD WAKE UP! 
STOP TERROR-RUSSIA!
#Ukraine #Україна #PutinKiller #АТО
#StopRussianAggression #BanRussiaFromSwift http://t.co/tsuyfwUx8R"
san54m,"#crimeaisukraine &amp; #FreeSavchenko posters as a reminder in #Ukraine's parliament http://t.co/gFf3DLIWJE"""
ATO_PRO,"WORLD WAKE UP! 
STOP TERROR-RUSSIA!
#Ukraine #Україна #PutinKiller #АТО
#StopRussianAggression #BanRussiaFromSwift http://t.co/xFkeUtb65P"
ATO_PRO,"WORLD WAKE UP! 
STOP TERROR-RUSSIA!
#Ukraine #Україна #PutinKiller #АТО
#StopRussianAggression #BanRussiaFromSwift http://t.co/I735Nzt3V8"
philipo6975,"#Ukraine Un obus non explosé près du village de Dmitrivka, dans l'Est.  Photo par dilkoff … http://t.co/nZHuOtAkzZ) http://t.co/W19bxhc90u"
Lastcombo,RT @SputnikInt: #Gas contracts with #Ukraine must be strictly implemented - #Putin http://t.co/1hMBPg3N6p http://t.co/8ScUf3Eo3f
lisabnd,"RT @afpfr: #Ukraine Un obus non explosé près du village de Dmitrivka, dans l'Est.  Photo par @dilkoff #AFP http://t.co/ozrXk1Yhvq"
actionScript3,"#TSO @TorontoSymphony revives #McCarthyism #Blacklists ?
Sacks @ValLisitsa 
#News #Ukraine #letValentinaPlay
http://t.co/2KfxzykxwU"
UkrPolBalt,RT @UaPosition: Girl killed in #Ukraine ‘never existed’ – #bbc News about #Russian propaganda http://t.co/g9qfEhzblc
Pat_lepoete,Le Grec Alexis Tsipras veut la fin des sanctions contre la #Russie #Ukraine #Grèce http://t.co/zfUYmcC6zJ
ATO_PRO,"WORLD WAKE UP! 
STOP TERROR-RUSSIA!
#Ukraine #Україна #PutinKiller #АТО
#StopRussianAggression #BanRussiaFromSwift http://t.co/mz1sfqAlom"
Lastcombo,RT @SputnikInt: Mole among men: #Ukraine’s #RightSector leader pawn of the #US http://t.co/s8dQKqrnSg #Yarosh http://t.co/Vz25Z5AM1S
vlad_michuda,просьба к Западу: не давайте вы кредиты этим ворюгам Порошенко и Яценюку. Инвестируйте или раздавайте неимущим напрямую #Украина #Ukraine
luckyjimsling,RT @AntimaidanENG: Banderization of #Ukraine: #Nazi-boss #Yarosh will be in charge with military &amp; patriotic education of Ukrainian... http…
bmcgu8,RT @Liveuamap: Convoy of military vehicles in Rostov Region  http://t.co/YUXCpnHYEj #Ukraine http://t.co/g0nb1yYz4F via @BuTaJIu4eK
igordzu,"RT @eot_dnr: Доброволец из #США в рядах отряда ""Суть Времени"" на позициях в поселке Спартак.
#ДНР #Донбасс #Ukraine 
https://t.co/tAfNFs9fdP"
DeniseLevy14,#Poland supports the sending of peacekeepers to #Ukraine     -      #Komorowski    http://t.co/CXYj5Amuvg
ly2bos,RT @CWynnykWilson: PURE EVIL Mystery of #Ukraine's Richest Man &amp; a Series of Unlikely Suicides http://t.co/5F9QV6MX8R #Akmetov he is not #U…
bmcgu8,RT @NataliaSolyeva: #OSCE PA President convinced of the need of int. peacekeeping mission to eastern #Ukraine http://t.co/8ePqXdzOup http:/…
eot_dnr,"Доброволец из #США в рядах отряда ""Суть Времени"" на позициях в поселке Спартак.
#ДНР #Донбасс #Ukraine 
https://t.co/tAfNFs9fdP"
Pat_lepoete,Réunion ministérielle France-Allemagne-#Ukraine-#Russie lundi à Berlin http://t.co/cKcvqjHRKk #International
italiallafrutta,RT @AntimaidanENG: Banderization of #Ukraine: #Nazi-boss #Yarosh will be in charge with military &amp; patriotic education of Ukrainian... http…
novosti_net,CLICK : http://t.co/A3UYgTDmku #Путин #Putin #Moscow #Ukraine #War UN #NATO #DNR LNR #MH17 #BUK 1428520568 Russia http://t.co/L5JaQeAOLG
YUZNEWSINFO,"08.04.15 #Сводка #ДНР #USA - #EU - #Ukraine - #Fascism 

Сводка от ополчения:

""Хунта снова поперла в атаку под... http://t.co/lSxvT1sT9m"
INDIABONITA_11,"RT @unicefusa: In #Ukraine, UNICEF &amp; partners skirt landmines to deliver for children in need: http://t.co/v3vQ2Bty5K http://t.co/EyeWReelth"
GioTomassetti,#mezhyhiryaresidence #mezhyhirya #kiev #ukraine #dneproriver #dnepro #villa #mansion https://t.co/gxRcc5cFKx
Vitaliy07770,RT @Dbnmjr: #Украина #война #россия #рф #Ukraine http://t.co/HfMyNh8j1J
GioTomassetti,#mezhyhiryaresidence #mezhyhirya #kiev #ukraine #dneproriver #dnepro #villa https://t.co/x8C89w4G6d
