upandininLV,"""I have insurance, I might as well use it while I can..."" #Obamacare"
StrotheVincent,"RT @Marmel: ""#RandPaul's website, including his official merchandise site, is so terrible he should never mention #Obamacare roll out again…"
the_LoungeFly,'Our America' ? Isn't Cruz a Canadian?...using #Obamacare 😏 http://t.co/CClsy0SBXI
mariacramirez11,"RT @GarzaVillanueva: #TNTweeters
#latinos #Vote 
Fact #RandPaul opposes #ImmigrationReform #GOP #ElectReform #Obamacare
#ImmigrationAction …"
joeyyeo13,OBAMA #BANS TED CRUZ FROM #OBAMACARE !   http://t.co/AkaGZYCJ6R http://t.co/5uQYHaQRVE
TriangleBIZJrnl,"Of states that run the federal #Obamacare exchange, NC ranks in the top third in terms of highest attrition rate http://t.co/j81U4xykbU"
marcylauren,"RT @AFSCME: Washington Post: The Affordable Care Act helped prevent 50,000 patient deaths http://t.co/8lfdJjWqfE #1u #Obamacare"
pat1944,"RT @iamsharpe: Thanks, Obama. RT @AFSCME: Washington Post: The Affordable Care Act helped prevent 50,000 patient deaths http://t.co/puCQ3ct…"
voteunion,"RT @AFSCME: Washington Post: The Affordable Care Act helped prevent 50,000 patient deaths http://t.co/8lfdJjWqfE #1u #Obamacare"
ready_preceptor,"Woman Taken To `Wrong` Hospital Faces Bankruptcy, Financial Ruin: #ACA #Obamacare http://t.co/JcWgEtDwLV"
iamsharpe,"Thanks, Obama. RT @AFSCME: Washington Post: The Affordable Care Act helped prevent 50,000 patient deaths http://t.co/puCQ3ctPrK #Obamacare"
b_umanzor,"RT @chicoscperez: #TNTweeters #latinoVote 

Fact &gt;&gt;@RandPaul opposes #ImmigrationReform #GOPFAIL #ElectReform @HouseGOP #Obamacare http://t…"
pointgigs,"RT @AFSCME: Washington Post: The Affordable Care Act helped prevent 50,000 patient deaths http://t.co/8lfdJjWqfE #1u #Obamacare"
RNRNewHampshir,RT @RightWingArt: IMAGE: Stand Against Obamacare! http://t.co/98CvS2xZkX #obamacare #socialism #nobama #fail #resist44 #liar
ManageMyRisks,How and who you share with matters. You can't take water out of only one side of a bucket. #Obamacare
arthurkirland2,RT @IWV: Heritage: Premiums under #ObamaCare already up 5% in 2015 http://t.co/trSMZLcQPO     via @newsmax #hcr
maxasteele,"RT @AFSCME: Washington Post: The Affordable Care Act helped prevent 50,000 patient deaths http://t.co/8lfdJjWqfE #1u #Obamacare"
IWV,Heritage: Premiums under #ObamaCare already up 5% in 2015 http://t.co/trSMZLcQPO     via @newsmax #hcr
AFSCME,"Washington Post: The Affordable Care Act helped prevent 50,000 patient deaths http://t.co/8lfdJjWqfE #1u #Obamacare"
c_keps,"RT @TrucksHorsesDog: #StopCommonCore #StopHR5
Just Stop over-regulations killing jobs, Ponzi tax &amp; #Obamacare #CommonSense #WakeUpAmerica h…"
JLenardDetroit,"Great anti-#ObamaCare Ad: http://t.co/PVNbHuefiT 
#ACA #HealthCare #PJNet #UniteRight #RedNationRising #TEAParty"
disler_frank,RT @Smith83K: Rand Paul thinks healthcare is slavery. http://t.co/kuI7zYSMDR #CantStandRand #ACA #UniteBlue #libcrib #TNTweeters #Obamacare
cunningham_cch,RT @mterry337: What happens if SCOTUS strikes down #Obamacare subsidies?! Higher #healthcare costs..fewer enrollments..many more uninsured …
MargiNowak,RT @Smith83K: Rand Paul thinks healthcare is slavery. http://t.co/kuI7zYSMDR #CantStandRand #ACA #UniteBlue #libcrib #TNTweeters #Obamacare
cunningham_cch,RT @mterry337: Since the implementation of #Obamacare in 2014 America's uninsured rate has dropped 35% with 16M more Americans receiving #h…
mterry337,@SenTedCruz vows to REPEAL every word of #Obamacare! That means people with pre-existing health conditions will be denied #healthcare!!!
UniteBlueKY,RT @Smith83K: Rand Paul thinks healthcare is slavery. http://t.co/kuI7zYSMDR #CantStandRand #ACA #UniteBlue #libcrib #TNTweeters #Obamacare
edilberto_u,"RT @chicoscperez: #TNTweeters #latinoVote 

Fact &gt;&gt;@RandPaul opposes #ImmigrationReform #GOPFAIL #ElectReform @HouseGOP #Obamacare http://t…"
justin_cuomo,RT @ThePatriot143: If you STILL believe Obama: #Benghazi #IRS #Obamacare #FastFurious #HillaryEmail and now #IranDeal YOU'RE A MORON!!!! ht…
jhans348,RT @ZaneBenefits: #Obamacare #Healthcare Reporting - Are You Prepared? http://t.co/isQlL6la5K #ACA #IRS http://t.co/rh8i0cJolg
dougfield52,Section 1332 Waivers: Breaking Out of the #Obamacare Box http://t.co/UPkcYqS0oA via @the_IHC
dare6626,"RT @Rockprincess818: Obama/Democrats took-over student loans, hidden in #ObamaCare
THAT MAKES THEM RESPONSIBLE. 
gov is PROFITING off of st…"
RoughCreek7,"RT @Rockprincess818: Obama/Democrats took-over student loans, hidden in #ObamaCare
THAT MAKES THEM RESPONSIBLE. 
gov is PROFITING off of st…"
PatrickHenryQ,RT @mterry337: Great news!! The CBO reports the #Obamacare subsidies will cost 20% less over the next decade or $209B less than reported la…
Amyloukingery,"RT @Rockprincess818: Obama/Democrats took-over student loans, hidden in #ObamaCare
THAT MAKES THEM RESPONSIBLE. 
gov is PROFITING off of st…"
mterry337,Great news!! The CBO reports the #Obamacare subsidies will cost 20% less over the next decade or $209B less than reported last year!!!
BBCUSA173,RT @mterry337: According to Forbes over 1M new jobs have been created in #healthcare industry since #Obamacare was signed into law!! Some j…
DFranklinkfdx,"RT @Rockprincess818: Obama/Democrats took-over student loans, hidden in #ObamaCare
THAT MAKES THEM RESPONSIBLE. 
gov is PROFITING off of st…"
